
=============================================
STARTING Stage1
Episodes: 15000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=50)
[Stage1] Ep 100 | Avg Rew: -9.17 | Success: 0.00
[Stage1] Ep 200 | Avg Rew: -8.62 | Success: 0.00
[Stage1] Ep 300 | Avg Rew: -3.39 | Success: 0.01
[Stage1] Ep 400 | Avg Rew: -0.34 | Success: 0.04
[Stage1] Ep 500 | Avg Rew: 2.59 | Success: 0.01
[Stage1] Ep 600 | Avg Rew: 7.56 | Success: 0.00
[Stage1] Ep 700 | Avg Rew: 10.25 | Success: 0.06
[Stage1] Ep 800 | Avg Rew: 12.38 | Success: 0.05
[Stage1] Ep 900 | Avg Rew: 21.89 | Success: 0.05
[Stage1] Ep 1000 | Avg Rew: 20.06 | Success: 0.04
[Stage1] Ep 1100 | Avg Rew: 37.28 | Success: 0.12
[Stage1] Ep 1200 | Avg Rew: 44.24 | Success: 0.11
[Stage1] Ep 1300 | Avg Rew: 30.95 | Success: 0.12
[Stage1] Ep 1400 | Avg Rew: 29.57 | Success: 0.10
[Stage1] Ep 1500 | Avg Rew: 38.93 | Success: 0.08
[Stage1] Ep 1600 | Avg Rew: 48.47 | Success: 0.12
[Stage1] Ep 1700 | Avg Rew: 40.44 | Success: 0.11
[Stage1] Ep 1800 | Avg Rew: 47.05 | Success: 0.19
[Stage1] Ep 1900 | Avg Rew: 43.73 | Success: 0.12
[Stage1] Ep 2000 | Avg Rew: 49.04 | Success: 0.12
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/ckpt_Stage1_ep2000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/actor_Stage1_ep2000.pth
[Stage1] Ep 2100 | Avg Rew: 50.04 | Success: 0.10
[Stage1] Ep 2200 | Avg Rew: 66.46 | Success: 0.24
[Stage1] Ep 2300 | Avg Rew: 63.15 | Success: 0.21
[Stage1] Ep 2400 | Avg Rew: 51.57 | Success: 0.16
[Stage1] Ep 2500 | Avg Rew: 67.48 | Success: 0.19
[Stage1] Ep 2600 | Avg Rew: 72.01 | Success: 0.26
[Stage1] Ep 2700 | Avg Rew: 73.73 | Success: 0.16
[Stage1] Ep 2800 | Avg Rew: 77.87 | Success: 0.22
[Stage1] Ep 2900 | Avg Rew: 51.77 | Success: 0.13
[Stage1] Ep 3000 | Avg Rew: 72.27 | Success: 0.22
[Stage1] Ep 3100 | Avg Rew: 76.84 | Success: 0.31
[Stage1] Ep 3200 | Avg Rew: 65.43 | Success: 0.20
[Stage1] Ep 3300 | Avg Rew: 86.52 | Success: 0.26
[Stage1] Ep 3400 | Avg Rew: 78.81 | Success: 0.23
[Stage1] Ep 3500 | Avg Rew: 70.89 | Success: 0.19
[Stage1] Ep 3600 | Avg Rew: 91.04 | Success: 0.25
[Stage1] Ep 3700 | Avg Rew: 92.27 | Success: 0.26
[Stage1] Ep 3800 | Avg Rew: 86.44 | Success: 0.22
[Stage1] Ep 3900 | Avg Rew: 66.54 | Success: 0.19
[Stage1] Ep 4000 | Avg Rew: 58.28 | Success: 0.17
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/ckpt_Stage1_ep4000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/actor_Stage1_ep4000.pth
[Stage1] Ep 4100 | Avg Rew: 89.45 | Success: 0.21
[Stage1] Ep 4200 | Avg Rew: 99.10 | Success: 0.26
[Stage1] Ep 4300 | Avg Rew: 112.88 | Success: 0.31
[Stage1] Ep 4400 | Avg Rew: 78.30 | Success: 0.24
[Stage1] Ep 4500 | Avg Rew: 96.03 | Success: 0.33
[Stage1] Ep 4600 | Avg Rew: 86.17 | Success: 0.29
