
=============================================
STARTING Stage1_Bootstrap
Episodes: 8000 | LR: 0.0001
Curves Directory: generated_curves/stage1
=============================================
[ENV] Loaded 1000 pre-generated curves from /Users/mahsaabadian/Documents/GitHub/Mahsa's/MazeRL/DSA_RL/Experiment1/generated_curves/stage1

[ENV] Config Updated for Stage 1:
      Width: (2, 4), Noise: 0.0
      Tissue: False, Strict Stop: False
[Stage1_Bootstrap] Ep 100 | Avg Rew: -14.31 | Success: 0.00
[Stage1_Bootstrap] Ep 200 | Avg Rew: -11.99 | Success: 0.00
[Stage1_Bootstrap] Ep 300 | Avg Rew: -10.97 | Success: 0.00
[Stage1_Bootstrap] Ep 400 | Avg Rew: -11.81 | Success: 0.00
[Stage1_Bootstrap] Ep 500 | Avg Rew: -9.23 | Success: 0.01
[Stage1_Bootstrap] Ep 600 | Avg Rew: -10.32 | Success: 0.00
[Stage1_Bootstrap] Ep 700 | Avg Rew: -9.48 | Success: 0.01
[Stage1_Bootstrap] Ep 800 | Avg Rew: -9.11 | Success: 0.01
[Stage1_Bootstrap] Ep 900 | Avg Rew: -8.05 | Success: 0.02
[Stage1_Bootstrap] Ep 1000 | Avg Rew: -8.66 | Success: 0.00
[Stage1_Bootstrap] Ep 1100 | Avg Rew: -6.49 | Success: 0.02
[Stage1_Bootstrap] Ep 1200 | Avg Rew: -5.18 | Success: 0.06
[Stage1_Bootstrap] Ep 1300 | Avg Rew: -3.03 | Success: 0.08
[Stage1_Bootstrap] Ep 1400 | Avg Rew: -5.67 | Success: 0.04
[Stage1_Bootstrap] Ep 1500 | Avg Rew: -4.03 | Success: 0.08
[Stage1_Bootstrap] Ep 1600 | Avg Rew: -1.71 | Success: 0.09
[Stage1_Bootstrap] Ep 1700 | Avg Rew: 1.34 | Success: 0.15
[Stage1_Bootstrap] Ep 1800 | Avg Rew: 4.63 | Success: 0.20
[Stage1_Bootstrap] Ep 1900 | Avg Rew: 4.13 | Success: 0.17
[Stage1_Bootstrap] Ep 2000 | Avg Rew: 7.40 | Success: 0.20
Checkpoint saved: /Users/mahsaabadian/Documents/GitHub/Mahsa's/MazeRL/DSA_RL/Experiment1/runs/20251222_140520/checkpoints/ckpt_Stage1_Bootstrap_ep2000.pth
[Stage1_Bootstrap] Ep 2100 | Avg Rew: 1.15 | Success: 0.12
