
=============================================
STARTING Stage1_Foundation
Episodes: 10000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=42)
[Stage1_Foundation] Ep 100 | Avg Rew: -18.37 | Success: 0.00
[Stage1_Foundation] Ep 200 | Avg Rew: -9.60 | Success: 0.00
[Stage1_Foundation] Ep 300 | Avg Rew: -10.79 | Success: 0.00
[Stage1_Foundation] Ep 400 | Avg Rew: -9.92 | Success: 0.00
[Stage1_Foundation] Ep 500 | Avg Rew: -9.60 | Success: 0.01
[Stage1_Foundation] Ep 600 | Avg Rew: -10.19 | Success: 0.00
[Stage1_Foundation] Ep 700 | Avg Rew: -8.02 | Success: 0.01
[Stage1_Foundation] Ep 800 | Avg Rew: -10.09 | Success: 0.01
[Stage1_Foundation] Ep 900 | Avg Rew: -7.10 | Success: 0.04
[Stage1_Foundation] Ep 1000 | Avg Rew: -6.68 | Success: 0.05
[Stage1_Foundation] Ep 1100 | Avg Rew: 5.86 | Success: 0.21
[Stage1_Foundation] Ep 1200 | Avg Rew: -2.14 | Success: 0.11
[Stage1_Foundation] Ep 1300 | Avg Rew: -1.99 | Success: 0.16
[Stage1_Foundation] Ep 1400 | Avg Rew: 0.50 | Success: 0.18
[Stage1_Foundation] Ep 1500 | Avg Rew: -0.33 | Success: 0.12
[Stage1_Foundation] Ep 1600 | Avg Rew: 5.80 | Success: 0.23
[Stage1_Foundation] Ep 1700 | Avg Rew: 2.23 | Success: 0.19
[Stage1_Foundation] Ep 1800 | Avg Rew: 5.56 | Success: 0.20
[Stage1_Foundation] Ep 1900 | Avg Rew: 12.35 | Success: 0.31
[Stage1_Foundation] Ep 2000 | Avg Rew: 8.34 | Success: 0.23
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_153948/checkpoints/ckpt_Stage1_Foundation_ep2000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_153948/checkpoints/actor_Stage1_Foundation_ep2000.pth
[Stage1_Foundation] Ep 2100 | Avg Rew: 6.75 | Success: 0.23
[Stage1_Foundation] Ep 2200 | Avg Rew: 10.97 | Success: 0.31
[Stage1_Foundation] Ep 2300 | Avg Rew: 5.72 | Success: 0.22
[Stage1_Foundation] Ep 2400 | Avg Rew: 8.73 | Success: 0.25
[Stage1_Foundation] Ep 2500 | Avg Rew: 11.34 | Success: 0.25
[Stage1_Foundation] Ep 2600 | Avg Rew: 7.34 | Success: 0.24
[Stage1_Foundation] Ep 2700 | Avg Rew: 15.59 | Success: 0.34
[Stage1_Foundation] Ep 2800 | Avg Rew: 12.74 | Success: 0.30
[Stage1_Foundation] Ep 2900 | Avg Rew: 13.94 | Success: 0.33
[Stage1_Foundation] Ep 3000 | Avg Rew: 10.43 | Success: 0.27
[Stage1_Foundation] Ep 3100 | Avg Rew: 17.65 | Success: 0.29
[Stage1_Foundation] Ep 3200 | Avg Rew: 12.35 | Success: 0.28
[Stage1_Foundation] Ep 3300 | Avg Rew: 17.95 | Success: 0.31
[Stage1_Foundation] Ep 3400 | Avg Rew: 22.91 | Success: 0.39
[Stage1_Foundation] Ep 3500 | Avg Rew: 22.76 | Success: 0.39
[Stage1_Foundation] Ep 3600 | Avg Rew: 18.28 | Success: 0.35
[Stage1_Foundation] Ep 3700 | Avg Rew: 16.33 | Success: 0.26
[Stage1_Foundation] Ep 3800 | Avg Rew: 18.12 | Success: 0.32
[Stage1_Foundation] Ep 3900 | Avg Rew: 24.14 | Success: 0.36
[Stage1_Foundation] Ep 4000 | Avg Rew: 18.16 | Success: 0.38
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_153948/checkpoints/ckpt_Stage1_Foundation_ep4000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_153948/checkpoints/actor_Stage1_Foundation_ep4000.pth
[Stage1_Foundation] Ep 4100 | Avg Rew: 22.30 | Success: 0.34
[Stage1_Foundation] Ep 4200 | Avg Rew: 28.41 | Success: 0.36
[Stage1_Foundation] Ep 4300 | Avg Rew: 28.49 | Success: 0.48
[Stage1_Foundation] Ep 4400 | Avg Rew: 19.90 | Success: 0.31
[Stage1_Foundation] Ep 4500 | Avg Rew: 26.27 | Success: 0.47
[Stage1_Foundation] Ep 4600 | Avg Rew: 30.27 | Success: 0.45
[Stage1_Foundation] Ep 4700 | Avg Rew: 36.81 | Success: 0.52
[Stage1_Foundation] Ep 4800 | Avg Rew: 28.40 | Success: 0.52
[Stage1_Foundation] Ep 4900 | Avg Rew: 39.40 | Success: 0.64
[Stage1_Foundation] Ep 5000 | Avg Rew: 34.04 | Success: 0.57
[Stage1_Foundation] Ep 5100 | Avg Rew: 38.51 | Success: 0.60
[Stage1_Foundation] Ep 5200 | Avg Rew: 36.94 | Success: 0.57
[Stage1_Foundation] Ep 5300 | Avg Rew: 46.70 | Success: 0.68
[Stage1_Foundation] Ep 5400 | Avg Rew: 32.16 | Success: 0.44
[Stage1_Foundation] Ep 5500 | Avg Rew: 36.74 | Success: 0.55
[Stage1_Foundation] Ep 5600 | Avg Rew: 34.37 | Success: 0.55
[Stage1_Foundation] Ep 5700 | Avg Rew: 34.79 | Success: 0.57
[Stage1_Foundation] Ep 5800 | Avg Rew: 35.05 | Success: 0.53
[Stage1_Foundation] Ep 5900 | Avg Rew: 43.24 | Success: 0.61
[Stage1_Foundation] Ep 6000 | Avg Rew: 45.41 | Success: 0.66
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_153948/checkpoints/ckpt_Stage1_Foundation_ep6000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_153948/checkpoints/actor_Stage1_Foundation_ep6000.pth
[Stage1_Foundation] Ep 6100 | Avg Rew: 40.26 | Success: 0.64
[Stage1_Foundation] Ep 6200 | Avg Rew: 33.37 | Success: 0.54
[Stage1_Foundation] Ep 6300 | Avg Rew: 48.74 | Success: 0.74
[Stage1_Foundation] Ep 6400 | Avg Rew: 42.47 | Success: 0.68
[Stage1_Foundation] Ep 6500 | Avg Rew: 45.49 | Success: 0.67
[Stage1_Foundation] Ep 6600 | Avg Rew: 39.30 | Success: 0.59
[Stage1_Foundation] Ep 6700 | Avg Rew: 41.90 | Success: 0.61
[Stage1_Foundation] Ep 6800 | Avg Rew: 38.46 | Success: 0.63
