
=============================================
STARTING Stage1_Foundation
Episodes: 10000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=42)
[Stage1_Foundation] Ep 100 | Avg Rew: -31.87 | Success: 0.00
[Stage1_Foundation] Ep 200 | Avg Rew: -28.76 | Success: 0.00
[Stage1_Foundation] Ep 300 | Avg Rew: -27.54 | Success: 0.00
[Stage1_Foundation] Ep 400 | Avg Rew: -27.70 | Success: 0.00
[Stage1_Foundation] Ep 500 | Avg Rew: -27.02 | Success: 0.00
[Stage1_Foundation] Ep 600 | Avg Rew: -28.50 | Success: 0.00
[Stage1_Foundation] Ep 700 | Avg Rew: -28.20 | Success: 0.00
[Stage1_Foundation] Ep 800 | Avg Rew: -29.38 | Success: 0.00
[Stage1_Foundation] Ep 900 | Avg Rew: -30.57 | Success: 0.00
[Stage1_Foundation] Ep 1000 | Avg Rew: -31.25 | Success: 0.00
[Stage1_Foundation] Ep 1100 | Avg Rew: -29.13 | Success: 0.00
[Stage1_Foundation] Ep 1200 | Avg Rew: -28.67 | Success: 0.00
[Stage1_Foundation] Ep 1300 | Avg Rew: -27.23 | Success: 0.00
[Stage1_Foundation] Ep 1400 | Avg Rew: -25.46 | Success: 0.01
[Stage1_Foundation] Ep 1500 | Avg Rew: -23.78 | Success: 0.02
[Stage1_Foundation] Ep 1600 | Avg Rew: -20.07 | Success: 0.10
[Stage1_Foundation] Ep 1700 | Avg Rew: -22.39 | Success: 0.03
[Stage1_Foundation] Ep 1800 | Avg Rew: -26.12 | Success: 0.03
