
=============================================
STARTING Stage1_Foundation
Episodes: 10000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=42)
   Episode 1 | Return: -10.68 | Stop Success: 0
   Episode 2 | Return: -40.45 | Stop Success: 0
   Episode 3 | Return: -19.03 | Stop Success: 0
   Episode 4 | Return: -9.05 | Stop Success: 0
   Episode 5 | Return: -17.93 | Stop Success: 0
   Episode 6 | Return: -17.30 | Stop Success: 0
   Episode 7 | Return: -39.54 | Stop Success: 0
   Episode 8 | Return: -17.79 | Stop Success: 0
   Episode 9 | Return: -12.33 | Stop Success: 0
   Episode 10 | Return: -23.77 | Stop Success: 0
   Episode 11 | Return: -16.95 | Stop Success: 0
   Episode 12 | Return: -13.13 | Stop Success: 0
   Episode 13 | Return: -19.01 | Stop Success: 0
   Episode 14 | Return: -50.16 | Stop Success: 0
   Episode 15 | Return: -32.87 | Stop Success: 0
   Episode 16 | Return: -17.84 | Stop Success: 0
   Episode 17 | Return: -81.70 | Stop Success: 0
   Episode 18 | Return: -35.08 | Stop Success: 0
   Episode 19 | Return: -16.32 | Stop Success: 0
   Episode 20 | Return: -24.98 | Stop Success: 0
   Episode 21 | Return: -22.37 | Stop Success: 0
   Episode 22 | Return: -30.65 | Stop Success: 0
   Episode 23 | Return: -23.05 | Stop Success: 0
   Episode 24 | Return: -38.75 | Stop Success: 0
   Episode 25 | Return: -15.13 | Stop Success: 0
   Episode 26 | Return: -23.04 | Stop Success: 0
   Episode 27 | Return: -27.56 | Stop Success: 0
   Episode 28 | Return: -20.09 | Stop Success: 0
   Episode 29 | Return: -24.67 | Stop Success: 0
   Episode 30 | Return: -78.82 | Stop Success: 0
   Episode 31 | Return: -24.26 | Stop Success: 0
   Episode 32 | Return: -24.80 | Stop Success: 0
   Episode 33 | Return: -5.12 | Stop Success: 0
   Episode 34 | Return: -16.17 | Stop Success: 0
   Episode 35 | Return: -13.15 | Stop Success: 0
   Episode 36 | Return: -13.71 | Stop Success: 0
   Episode 37 | Return: -4.51 | Stop Success: 0
   Episode 38 | Return: -8.36 | Stop Success: 0
   Episode 39 | Return: -5.16 | Stop Success: 0
   Episode 40 | Return: -10.02 | Stop Success: 0
   Episode 41 | Return: -11.07 | Stop Success: 0
   Episode 42 | Return: -10.98 | Stop Success: 0
   Episode 43 | Return: -4.26 | Stop Success: 0
   Episode 44 | Return: -7.60 | Stop Success: 0
   Episode 45 | Return: -10.46 | Stop Success: 0
   Episode 46 | Return: -9.18 | Stop Success: 0
   Episode 47 | Return: -7.42 | Stop Success: 0
   Episode 48 | Return: -8.98 | Stop Success: 0
   Episode 49 | Return: -8.14 | Stop Success: 0
   Episode 50 | Return: -10.14 | Stop Success: 0
   Episode 51 | Return: -9.33 | Stop Success: 0
   Episode 52 | Return: -7.76 | Stop Success: 0
   Episode 53 | Return: -11.86 | Stop Success: 0
   Episode 54 | Return: -13.37 | Stop Success: 0
   Episode 55 | Return: -3.54 | Stop Success: 0
   Episode 56 | Return: -7.22 | Stop Success: 0
   Episode 57 | Return: -9.54 | Stop Success: 0
   Episode 58 | Return: -11.42 | Stop Success: 0
   Episode 59 | Return: -10.22 | Stop Success: 0
   Episode 60 | Return: -5.37 | Stop Success: 0
   Episode 61 | Return: -18.90 | Stop Success: 0
   Episode 62 | Return: -13.43 | Stop Success: 0
   Episode 63 | Return: -11.01 | Stop Success: 0
   Episode 64 | Return: -12.86 | Stop Success: 0
   Episode 65 | Return: -17.09 | Stop Success: 0
   Episode 66 | Return: -8.76 | Stop Success: 0
   Episode 67 | Return: -7.69 | Stop Success: 0
   Episode 68 | Return: -8.10 | Stop Success: 0
   Episode 69 | Return: -1.84 | Stop Success: 0
   Episode 70 | Return: -12.94 | Stop Success: 0
   Episode 71 | Return: -12.91 | Stop Success: 0
   Episode 72 | Return: -11.60 | Stop Success: 0
   Episode 73 | Return: -9.45 | Stop Success: 0
   Episode 74 | Return: 0.50 | Stop Success: 0
   Episode 75 | Return: -13.62 | Stop Success: 0
   Episode 76 | Return: -8.72 | Stop Success: 0
   Episode 77 | Return: -6.84 | Stop Success: 0
   Episode 78 | Return: -8.31 | Stop Success: 0
   Episode 79 | Return: -4.95 | Stop Success: 0
   Episode 80 | Return: -6.08 | Stop Success: 0
   Episode 81 | Return: -8.45 | Stop Success: 0
   Episode 82 | Return: -4.84 | Stop Success: 0
   Episode 83 | Return: -4.91 | Stop Success: 0
   Episode 84 | Return: -10.98 | Stop Success: 0
   Episode 85 | Return: -5.62 | Stop Success: 0
   Episode 86 | Return: -2.84 | Stop Success: 0
   Episode 87 | Return: -2.20 | Stop Success: 0
   Episode 88 | Return: 3.11 | Stop Success: 0
   Episode 89 | Return: -11.31 | Stop Success: 0
   Episode 90 | Return: -12.80 | Stop Success: 0
   Episode 91 | Return: -8.48 | Stop Success: 0
